,南部 (kgCO2e/kWh),中部 (kgCO2e/kWh),北部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2024-07-14 05:00:00,0.44308502570003894,0.672147023634131,0.5118230825488866,0.5775046066441422,0.546609337487152
2024-07-14 06:00:00,0.40708261677764984,0.6189908201982383,0.5365331806690105,0.5356512880325631,0.5244425813890381
2024-07-14 07:00:00,0.3220087950410862,0.5120784976900431,0.5300131367451159,0.4465990611520605,0.45844065108830784
2024-07-14 08:00:00,0.281528128500327,0.42718685479694307,0.5128599107985946,0.37943541622405125,0.40936347734045386
2024-07-14 09:00:00,0.25868681405792465,0.38361555954695714,0.4963989636280527,0.3474749523180846,0.3822939652697855
2024-07-14 10:00:00,0.2350480335451263,0.3568946142979915,0.48466574207323315,0.32702744096846653,0.3603214050042126
2024-07-14 11:00:00,0.22697830885933523,0.34221930445416304,0.4756041548949907,0.3139573432623255,0.3497355671593909
2024-07-14 12:00:00,0.23942652625911248,0.3500873015603319,0.47399547283734517,0.32386107156271227,0.35677765002995493
2024-07-14 13:00:00,0.2582645324345544,0.37531377714830255,0.4799851169421668,0.34825994156231055,0.3731199555422443
2024-07-14 14:00:00,0.273362637731662,0.40258511857383283,0.4910404315262866,0.3780414718215813,0.3935729813001136
2024-07-14 15:00:00,0.30281331621110674,0.44048838330469603,0.5027835169294058,0.41594739802905517,0.4214589550718622
2024-07-14 16:00:00,0.359016658690156,0.4966537060450364,0.5151943661866263,0.4648180706866868,0.4624025007318493
2024-07-14 17:00:00,0.40581552402467685,0.5507567828334611,0.5261293598368038,0.5007578089674849,0.4971943677692967
2024-07-14 18:00:00,0.46235525526106935,0.569883771812891,0.5381045933310403,0.4899559244112819,0.5247633873097013
2024-07-14 19:00:00,0.47441561751378714,0.5576214420328899,0.5370107298867646,0.4892618840618049,0.5243885265741937
2024-07-14 20:00:00,0.4782862186326559,0.5565579452551774,0.5351601550388227,0.49066612790946484,0.5247688360892733
2024-07-14 21:00:00,0.4770958218513892,0.5691661567106789,0.5389132677957824,0.5003770030450079,0.5301592249370528
2024-07-14 22:00:00,0.4773778889237146,0.5978582419257379,0.5430952038610822,0.5537449617678342,0.5424187797035172
2024-07-14 23:00:00,0.4804961945268225,0.6416679254803432,0.5411108043090468,0.5887570693899596,0.5592598947115064
2024-07-15 00:00:00,0.47534449030173664,0.6443226854711103,0.5313952198632721,0.5830741098046314,0.5542063231099902
2024-07-15 01:00:00,0.46677086093660414,0.6739725337596997,0.5221305214832889,0.5991323252769405,0.5601061365203709
2024-07-15 02:00:00,0.46380976183694117,0.6851564251871447,0.5130916729173367,0.6046315120424243,0.5635488520937969
2024-07-15 03:00:00,0.45266204812998023,0.671971693113592,0.503588497682021,0.5897368594210316,0.553544434159164
2024-07-15 04:00:00,0.4445411129669228,0.6529901934160535,0.5000552159153743,0.5745748960683769,0.5432460318700214
2024-07-15 05:00:00,0.4435987290204972,0.6515159790914762,0.49874079593145837,0.5718077598922843,0.5429821588473068
2024-07-15 06:00:00,0.4131967376766748,0.6224289301001951,0.49775112784275005,0.5455302038730513,0.5232684299247077
2024-07-15 07:00:00,0.3525997898697584,0.5543880772099136,0.49284775000280806,0.48610415341069985,0.47564983177054976
2024-07-15 08:00:00,0.31759385870580936,0.4838858841506141,0.47726147340709985,0.4372001461271382,0.4305381661910102
2024-07-15 09:00:00,0.27644543931546933,0.4258295666239123,0.4492115844824595,0.3876380170917411,0.38787843783687587
2024-07-15 10:00:00,0.27469516970375757,0.4049763386149797,0.4431981676574771,0.3741135255843606,0.3797287268850546
2024-07-15 11:00:00,0.2673194164752942,0.40395077246476474,0.4439157633518354,0.3734912359068363,0.3757150214275192
2024-07-15 12:00:00,0.2703278886625336,0.4180239661451739,0.4584220182351987,0.3868152534483836,0.38709362429489713
2024-07-15 13:00:00,0.28627091919113773,0.4242380263051264,0.46902043224442624,0.398526038543732,0.3993490171969062
2024-07-15 14:00:00,0.3056473993269468,0.43524706587585876,0.47166856236919286,0.4113398903724144,0.4109400741160676
2024-07-15 15:00:00,0.3281000004337334,0.45921185973031203,0.4732640514623023,0.4322901628729637,0.42508959982263345
2024-07-15 16:00:00,0.37242155127489535,0.48527241956164263,0.4755832428718773,0.45624101121249266,0.4482859907842198
2024-07-15 17:00:00,0.44952875285860233,0.5456982153086107,0.4869235455295962,0.4921808328880718,0.4950631832821251
2024-07-15 18:00:00,0.451603875815715,0.5647240042757237,0.49177467341662734,0.48697087941872585,0.5029370714560941
2024-07-15 19:00:00,0.47200842604423576,0.5822826978707011,0.49639514198748225,0.5130473741878282,0.5174331371289664
2024-07-15 20:00:00,0.4774251720800224,0.5935527026062394,0.49405462521397486,0.5244358436738875,0.521572251767324
2024-07-15 21:00:00,0.4767503459230074,0.59000157752141,0.49046511128349496,0.5200197586033861,0.5181832388258051
2024-07-15 22:00:00,0.4773120143616146,0.597278602940076,0.4856477492770111,0.5313376836785033,0.5190117122915413
2024-07-15 23:00:00,0.47898732962770046,0.6175700526971025,0.4886003523655458,0.5765145982188552,0.52939606564123
2024-07-16 00:00:00,0.4727471264432212,0.6444172755808959,0.5029471676647395,0.587645648534484,0.5421836031083955
2024-07-16 01:00:00,0.4651645541797076,0.6538985498294598,0.520837144302483,0.5903353319054,0.5516192644475683
2024-07-16 02:00:00,0.46602030990821924,0.6636904567996648,0.5265349437320722,0.5967159712430208,0.5607544928172844
2024-07-16 03:00:00,0.46644239321664965,0.662106359234136,0.5287241022351438,0.59419248585092,0.5632466904353645
2024-07-16 04:00:00,0.4672898598461028,0.6610428151733966,0.526232380351529,0.5918424335073806,0.5639178213619543
2024-07-16 05:00:00,0.4678662757945392,0.6614592173189426,0.5229130464550813,0.5907327937816039,0.5650001835800474
2024-07-16 06:00:00,0.43393803275271353,0.6206733906256204,0.5290485795896622,0.5553370391150275,0.5412161286468151
2024-07-16 07:00:00,0.364506877121535,0.5427212287039792,0.5136419483855269,0.48547993225032565,0.4847371019136354
2024-07-16 08:00:00,0.31067516615658397,0.47859348865043977,0.48952503907093875,0.442663507836445,0.4349051828078088
2024-07-16 09:00:00,0.27982389056602835,0.4273120517361795,0.4574552184627069,0.39607793828817267,0.395950250647184
2024-07-16 10:00:00,0.26355273297152004,0.4006190842210837,0.44690126059736823,0.37352068051178305,0.37773314233338434
2024-07-16 11:00:00,0.26311469491415684,0.3971849819258535,0.4479211657045992,0.37002124061794167,0.37654599884508727
2024-07-16 12:00:00,0.27012144808786365,0.40867733941955015,0.4640682542639814,0.38190165876951276,0.38930517131933723
2024-07-16 13:00:00,0.2844076422742078,0.4102461108387526,0.4674874693679475,0.3894891012247075,0.3963968737861574
2024-07-16 14:00:00,0.3014548083434102,0.42032055308361826,0.4683368388405575,0.4003389063915214,0.4052258739726761
2024-07-16 15:00:00,0.3351477056407868,0.43912365111593954,0.4694394577112947,0.4155609543288951,0.42158647344755207
2024-07-16 16:00:00,0.4449456021504397,0.47394066669807045,0.468504194766806,0.4365550421831805,0.46346921268169244
2024-07-16 17:00:00,0.4816019468182503,0.5343465661466609,0.4844071643393354,0.4875785994236207,0.499086203759021
2024-07-16 18:00:00,0.4792687871220337,0.5472062372193077,0.4876899481155312,0.4478560278276127,0.5017196509336513
2024-07-16 19:00:00,0.48312926016510765,0.5585155293453484,0.491860945999496,0.45175511965492055,0.5079737289465849
2024-07-16 20:00:00,0.48378217757743647,0.5928969418262049,0.503121320517451,0.5179191175742601,0.5251015275200674
2024-07-16 21:00:00,0.4845955299392888,0.6139392401357897,0.4969259613786097,0.5702446954882635,0.5301343377965172
2024-07-16 22:00:00,0.4844585313682652,0.6140979371831399,0.48575961237848386,0.5717231095417866,0.5263281577730319
2024-07-16 23:00:00,0.48375513359477956,0.6367888068304578,0.4850604184028856,0.5895929101317278,0.5347521851985338
2024-07-17 00:00:00,0.47419955359555754,0.6613634794434594,0.4915673378703491,0.5966018440338607,0.5431799321553349
2024-07-17 01:00:00,0.46865707498346953,0.6757811440259757,0.5103729853946541,0.6018480635979512,0.5546141816028827
2024-07-17 02:00:00,0.46827715943229303,0.6850299925586141,0.5190666679765559,0.6045873458649825,0.5613357915951442
